пшеCarNumber,Refund,Fines,Make,Model,fines
708587163RUS,2.0,1400.0,Ford,Focus,1996
Y358O8197RUS,2.0,21800.0,Ford,Focus,2015
Y973O8197RUS,2.0,7860.9896432681,Ford,Focus,1981
9677MO178RUS,2.0,1100.0,Ford,Mondeo,1981
97977H178RUS,1.0,1000.0,Ford,Focus,2007
7066C8197RUS,2.0,3000.0,Volkswagen,Passat,2013
H917TC36RUS,2.0,4000.0,Ford,Focus,2012
7361C8197RUS,1.0,800.0,Ford,Focus,2011
92928M178RUS,2.0,1200.0,Ford,Focus,1982
X786CO96RUS,1.0,1000.0,Ford,Focus,2002
Y357O8197RUS,1.0,2200.0,Ford,Focus,1990
Y7709C197RUS,1.0,500.0,Ford,Focus,2009
E42377152RUS,1.0,3000.0,Ford,Focus,2005
8513XX154RUS,1.0,1500.0,Ford,Focus,1997
T6418M116RUS,2.0,24600.0,Ford,Focus,1983
T870X7163RUS,2.0,2000.0,Skoda,Octavia,1981
8818C877RUS,1.0,2500.0,Volkswagen,Passat,1981
T395OT197RUS,2.0,7860.9896432681,Volkswagen,Touareg,1995
K327T8197RUS,2.0,20800.0,Volkswagen,Golf,2013
8311XX154RUS,2.0,8600.0,Ford,Focus,2013
X423MK197RUS,2.0,14300.0,Ford,Focus,1991
96429X178RUS,1.0,2600.0,Ford,Focus,1991
O275O7161RUS,2.0,16600.0,Ford,Focus,1993
7789KT197RUS,2.0,12600.0,Ford,Focus,2017
7248C8197RUS,1.0,8600.0,Ford,Mondeo,2016
O83697197RUS,2.0,6100.0,Ford,Focus,2002
E28877161RUS,1.0,1000.0,Ford,Focus,1997
T6068M116RUS,1.0,1000.0,Ford,Focus,1989
9498KX178RUS,2.0,1600.0,Ford,Focus,2009
9499KX178RUS,2.0,2300.0,Ford,Focus,1983
99209X178RUS,1.0,500.0,Skoda,Octavia,2010
T6449O50RUS,2.0,7860.9896432681,Ford,Focus,2018
9683EC178RUS,2.0,26000.0,Ford,Focus,2008
Y353O8197RUS,2.0,21800.0,Ford,Focus,2004
O719MM163RUS,2.0,2300.0,Ford,Focus,1981
7784KT197RUS,2.0,6600.0,Ford,Focus,1981
E535MM199RUS,1.0,500.0,Volkswagen,Touareg,2008
H967HY161RUS,1.0,4500.0,Ford,Focus,1996
Y352O8197RUS,2.0,103600.0,Ford,Focus,2005
7788KT197RUS,2.0,12000.0,Ford,Focus,2015
Y351O8197RUS,2.0,1500.0,Ford,Focus,1990
T479KX197RUS,2.0,12000.0,Ford,Focus,1989
92788M178RUS,1.0,300.0,Ford,Focus,1984
E807HE77RUS,2.0,4500.0,Ford,Focus,2008
7197TT36RUS,1.0,6800.0,Ford,Focus,1996
M516CH161RUS,1.0,1000.0,Ford,Focus,2014
89587X197RUS,1.0,7860.9896432681,Toyota,Camry,1980
7781KT197RUS,2.0,600.0,Ford,Focus,2010
E645TH36RUS,1.0,2400.0,Ford,Focus,1994
89587X197RUS,2.0,4400.0,Toyota,Camry,1981
Y302E877RUS,1.0,500.0,Ford,Focus,1994
M058XE36RUS,2.0,8500.0,Skoda,Octavia,1981
7830C8197RUS,1.0,5100.0,Ford,Focus,2016
8166XX154RUS,1.0,2400.0,Ford,Focus,1980
M589CH197RUS,2.0,7900.0,Volkswagen,,1983
9408H7178RUS,1.0,1000.0,Skoda,Octavia,1987
H387TM197RUS,2.0,1600.0,Volkswagen,Passat,2012
8049HT125RUS,1.0,500.0,Ford,Focus,2004
X015HY197RUS,2.0,16000.0,Toyota,Corolla,2015
T769OT197RUS,2.0,30900.0,Volkswagen,Golf,2010
9698MO178RUS,2.0,18400.0,Volkswagen,Golf,1990
8685HE154RUS,1.0,1000.0,Ford,Focus,2009
O83697197RUS,2.0,6100.0,Ford,Focus,2003
7177TT36RUS,1.0,1000.0,Ford,Focus,2019
O77997197RUS,1.0,22400.0,Ford,Focus,2010
X242EC197RUS,1.0,10600.0,Volkswagen,Golf,2017
Y234E877RUS,1.0,7860.9896432681,Ford,Focus,1992
K357YE77RUS,1.0,5000.0,Volkswagen,Golf,2015
97987H178RUS,2.0,5000.0,Ford,Focus,2014
X257HE161RUS,2.0,10000.0,Ford,Focus,1998
T479KX197RUS,1.0,12000.0,Ford,Focus,2006
T399KX197RUS,2.0,10200.0,Ford,Focus,2011
H957HY161RUS,1.0,2000.0,Ford,Focus,1995
K379HY161RUS,1.0,200.0,Volkswagen,Golf,2005
T654HT96RUS,1.0,4000.0,Toyota,Corolla,1998
E41977152RUS,2.0,2400.0,Ford,Focus,1994
8439XX154RUS,2.0,4600.0,Ford,Focus,2018
7194TT36RUS,1.0,2300.0,Ford,Focus,1983
Y965EE197RUS,2.0,9600.0,Ford,Focus,2006
X758HY197RUS,2.0,24200.0,Ford,Focus,2017
9464EX178RUS,1.0,2100.0,Ford,Focus,1992
M0279X197RUS,2.0,180000.0,Ford,Focus,1981
H224X836RUS,1.0,3500.0,Ford,Focus,1985
E6849O154RUS,1.0,200.0,Volkswagen,Golf,1990
Y273O8197RUS,2.0,26300.0,Ford,Focus,2016
96907X197RUS,2.0,3000.0,BMW,,1983
O83797197RUS,2.0,75900.0,Ford,Focus,2002
9402KK197RUS,2.0,7860.9896432681,Toyota,Camry,1985
7368C8197RUS,1.0,4400.0,Ford,Focus,1991
Y194O8161RUS,1.0,900.0,Ford,Focus,1999
H427YH197RUS,2.0,29700.0,Volkswagen,Passat,2015
9583EY178RUS,2.0,4300.0,Ford,Focus,2014
K376HE161RUS,1.0,100.0,Ford,Focus,2019
Y038E877RUS,2.0,6500.0,Ford,Focus,1991
9822H8161RUS,1.0,100.0,Ford,Focus,1980
7826C8197RUS,2.0,3600.0,Ford,Focus,1985
9467EX178RUS,2.0,3700.0,Ford,Focus,2016
K846YE77RUS,2.0,2000.0,Volkswagen,Passat,1981
E160YX77RUS,2.0,2200.0,Ford,Focus,2006
82337X197RUS,2.0,2100.0,Ford,Focus,2001
X757HY197RUS,2.0,6800.0,Ford,Focus,1996
X765HY197RUS,2.0,13900.0,Ford,Focus,1993
934497178RUS,2.0,1900.0,Skoda,Octavia,1995
T195OK161RUS,2.0,6700.0,Ford,Mondeo,2003
E41977152RUS,1.0,2400.0,Ford,Focus,1982
K2807K154RUS,1.0,1000.0,Ford,Focus,1995
T8008Y125RUS,2.0,1000.0,Ford,Focus,1991
9463EX178RUS,2.0,1400.0,Ford,Focus,2008
X765HY197RUS,2.0,27800.0,Ford,Focus,1999
Y960EE197RUS,1.0,7860.9896432681,Skoda,Octavia,1998
7840C8197RUS,2.0,7000.0,Ford,Focus,2003
K846YE77RUS,2.0,2000.0,Volkswagen,Passat,2006
E40577152RUS,1.0,500.0,Ford,Focus,1996
7827C8197RUS,1.0,7500.0,Ford,Focus,1994
T394KX197RUS,1.0,1500.0,Ford,Focus,1987
Y655E8750RUS,2.0,5200.0,Skoda,Octavia,2013
H003MH197RUS,2.0,2900.0,Ford,Focus,1990
705787163RUS,1.0,100.0,Ford,Focus,2019
Y7699C197RUS,2.0,15800.0,Ford,Focus,2011
Y6829Y50RUS,1.0,500.0,Ford,Focus,2002
Y358O8197RUS,2.0,21800.0,Ford,Focus,1980
Y8399C197RUS,2.0,1800.0,Ford,Focus,1997
9135X938RUS,2.0,4400.0,Ford,Focus,1981
T654HT96RUS,2.0,2000.0,Toyota,Corolla,1985
H385TM197RUS,1.0,9500.0,Volkswagen,Passat,2002
M0299X197RUS,2.0,9600.0,Ford,Focus,2001
9428EX178RUS,1.0,1000.0,Ford,Focus,1990
H837YK197RUS,2.0,4200.0,Audi,,1991
O83597197RUS,2.0,4000.0,Ford,Focus,1995
E42577152RUS,2.0,7860.9896432681,Ford,Focus,1993
E53277152RUS,1.0,1000.0,Ford,Focus,2015
98017H178RUS,1.0,1500.0,Ford,Focus,1999
K329T8197RUS,2.0,13000.0,Skoda,Octavia,2019
C476M7161RUS,2.0,1500.0,Ford,Focus,1989
9943KK197RUS,2.0,29700.0,Ford,Focus,2012
9679EC178RUS,2.0,500.0,Ford,Focus,1998
8165XX154RUS,1.0,4900.0,Ford,Focus,1983
T476KX197RUS,1.0,1500.0,Ford,Focus,1983
X242EC197RUS,2.0,10600.0,Volkswagen,Golf,1989
C422X938RUS,2.0,10500.0,Ford,Focus,2005
K328T8197RUS,1.0,300.0,Volkswagen,Golf,2017
9466EX178RUS,2.0,800.0,Ford,Focus,2006
X256HE161RUS,1.0,2400.0,Ford,Focus,1982
Y275O8197RUS,1.0,7860.9896432681,Ford,Focus,1981
H218X836RUS,2.0,17500.0,Ford,Focus,2004
X255HE161RUS,1.0,400.0,Ford,Focus,1991
7370C8197RUS,2.0,5000.0,Ford,Focus,2001
M373CH197RUS,2.0,6600.0,Ford,Focus,2010
O02397197RUS,1.0,4000.0,Volkswagen,Jetta,1991
8165XX154RUS,2.0,4200.0,Ford,Focus,2018
E432XX77RUS,2.0,13000.0,Toyota,Camry,2013
7830C8197RUS,2.0,10200.0,Ford,Focus,2014
H217X836RUS,1.0,2000.0,Ford,Focus,1991
Y316E877RUS,2.0,7000.0,Ford,Focus,1985
934497178RUS,1.0,3800.0,Skoda,Octavia,1981
O77997197RUS,2.0,7860.9896432681,Ford,Focus,1987
8601XX154RUS,1.0,1300.0,Skoda,Octavia,2014
M375CH197RUS,2.0,18100.0,Ford,Focus,2019
Y4298M777RUS,1.0,2000.0,Skoda,Octavia,1993
C420X938RUS,1.0,3300.0,Ford,Focus,2000
O22297197RUS,1.0,500.0,Ford,Focus,1993
M741T9152RUS,2.0,1000.0,Ford,Focus,2008
9883HX152RUS,2.0,1000.0,Ford,Focus,1983
Y6829Y50RUS,1.0,500.0,Ford,Focus,1980
H004MH197RUS,1.0,39600.0,Ford,Focus,1995
E53677152RUS,2.0,5500.0,Ford,Focus,2017
704987163RUS,2.0,7860.9896432681,Ford,Focus,1983
E160YX77RUS,2.0,1100.0,Ford,Focus,2008
E316EH197RUS,1.0,1300.0,Volkswagen,,1989
X758HY197RUS,2.0,72600.0,Ford,Focus,1997
T6419O50RUS,2.0,9000.0,Ford,Focus,1986
O22297197RUS,1.0,500.0,Ford,Focus,1981
O02597197RUS,1.0,800.0,Ford,Focus,2019
H963HY161RUS,1.0,1400.0,Ford,Focus,2010
X015HY197RUS,2.0,16000.0,Toyota,Corolla,2018
M6977E152RUS,2.0,500.0,Ford,Focus,1999
96907X197RUS,1.0,3000.0,BMW,,2002
X761HY197RUS,2.0,18300.0,Ford,Focus,2013
9938OH154RUS,1.0,500.0,Skoda,Octavia,2002
T769OT197RUS,2.0,30900.0,Volkswagen,Golf,1992
Y778EE197RUS,1.0,24000.0,Volkswagen,Golf,2003
7829C8197RUS,2.0,1800.0,Ford,Focus,2018
T6488M116RUS,2.0,21000.0,Ford,Focus,1987
T272HH163RUS,1.0,1000.0,Ford,Focus,1998
T018OX197RUS,2.0,3400.0,Toyota,Corolla,2009
Y255E877RUS,1.0,2500.0,Ford,Focus,2011
9182CE154RUS,2.0,13200.0,Ford,Focus,2006
O753MX161RUS,1.0,700.0,Ford,Focus,2001
9697MO178RUS,1.0,1000.0,Volkswagen,Golf,2003
C477M7161RUS,2.0,5000.0,Ford,Focus,2014
T686EO197RUS,1.0,500.0,Toyota,Camry,1999
O017KO197RUS,2.0,1600.0,Ford,Focus,1992
C590EY154RUS,2.0,7860.9896432681,Ford,Focus,1985
T941CC96RUS,1.0,2000.0,Ford,Focus,2003
O22397197RUS,2.0,55500.0,Ford,Focus,1985
X242EC197RUS,2.0,10600.0,Volkswagen,Golf,1996
T020OX197RUS,1.0,34300.0,Toyota,Corolla,2013
E33577152RUS,2.0,2000.0,Ford,Focus,2012
7197TT36RUS,2.0,6800.0,Ford,Focus,2007
Y973O8197RUS,1.0,34800.0,Ford,Focus,1995
E773EH197RUS,2.0,6800.0,Ford,Focus,2014
T6428M116RUS,2.0,6000.0,Ford,Focus,2007
Y7129Y50RUS,2.0,32000.0,Ford,Focus,2015
Y418EX197RUS,2.0,900.0,Volkswagen,Passat,2009
Y7689C197RUS,1.0,27000.0,Ford,Focus,2015
7066C8197RUS,1.0,3000.0,Volkswagen,Passat,1984
X796TH96RUS,1.0,500.0,Ford,Focus,1990
E52877152RUS,1.0,1500.0,Ford,Focus,2004
7369C8197RUS,2.0,7860.9896432681,Ford,Focus,2017
9409H7178RUS,2.0,3000.0,Skoda,Octavia,2004
Y166O8161RUS,1.0,100.0,Ford,Focus,1993
705287163RUS,2.0,2000.0,Ford,Focus,1982
K559KC161RUS,1.0,100.0,Ford,Focus,1986
M0299X197RUS,2.0,67200.0,Ford,Focus,2004
8164XX154RUS,2.0,4400.0,Ford,Focus,1997
92928M178RUS,1.0,600.0,Ford,Focus,2006
9822H8161RUS,1.0,200.0,Ford,Focus,2008
8603T8154RUS,1.0,3000.0,Ford,Focus,1984
84418C154RUS,1.0,3000.0,Ford,Focus,2002
Y965O8197RUS,1.0,1600.0,Ford,Focus,1987
E53488152RUS,2.0,1800.0,Ford,Focus,2011
9697MO178RUS,1.0,500.0,Volkswagen,Golf,2010
M256OH161RUS,2.0,1600.0,Ford,Focus,1994
Y7709C197RUS,1.0,1500.0,Ford,Focus,2016
E53277152RUS,1.0,500.0,Ford,Focus,1987
8201XX154RUS,1.0,2600.0,Ford,Focus,2010
90159H178RUS,2.0,600.0,Volkswagen,Passat,2004
C798ET50RUS,1.0,10000.0,Ford,Focus,2009
Y193O8161RUS,2.0,600.0,Ford,Focus,2005
7248C8197RUS,2.0,8600.0,Ford,Mondeo,1996
Y275O8197RUS,1.0,6000.0,Ford,Focus,2019
K357YE77RUS,1.0,5000.0,Volkswagen,Golf,1998
9697MO178RUS,1.0,7860.9896432681,Volkswagen,Golf,1992
Y187O8161RUS,1.0,400.0,Ford,Focus,2004
E0697X152RUS,1.0,2000.0,Skoda,Octavia,2006
M373CH197RUS,2.0,6600.0,Ford,Focus,2019
H982HY161RUS,1.0,300.0,Ford,Focus,1983
8610T8154RUS,1.0,2000.0,Ford,Focus,2009
E40877152RUS,1.0,1000.0,Ford,Focus,1989
K899T8197RUS,1.0,15400.0,Ford,Focus,1990
O83697197RUS,1.0,6100.0,Ford,Focus,1981
Y351O8197RUS,1.0,1500.0,Ford,Focus,1997
9941KK197RUS,1.0,800.0,Ford,Focus,2008
Y356O8197RUS,2.0,45900.0,Ford,Focus,2005
T914CT197RUS,2.0,7200.0,Toyota,Camry,2018
O6939X163RUS,1.0,7200.0,Ford,Focus,2009
Y7649C197RUS,2.0,5300.0,Ford,Focus,2012
M374CH197RUS,2.0,5500.0,Ford,Focus,1987
9935TE152RUS,2.0,2500.0,Ford,Focus,1980
704687163RUS,2.0,1400.0,Ford,Focus,2005
X523OM161RUS,1.0,400.0,Ford,Focus,2002
T6559O50RUS,2.0,4000.0,Ford,Focus,1988
7197TT36RUS,2.0,6800.0,Ford,Focus,2016
X765HY197RUS,2.0,41700.0,Ford,Focus,1990
96857X197RUS,2.0,18900.0,Skoda,Octavia,1992
M581CH197RUS,1.0,100.0,Ford,Focus,2011
H963HY161RUS,1.0,1400.0,Ford,Focus,2009
M302CH161RUS,1.0,500.0,Ford,Focus,2006
H115YO163RUS,1.0,7860.9896432681,Ford,Focus,1991
9679EC178RUS,1.0,500.0,Ford,Focus,2009
O143HO197RUS,2.0,30300.0,Toyota,Corolla,1985
K436MO152RUS,1.0,1500.0,Ford,Focus,1986
9938OH154RUS,1.0,500.0,Skoda,Octavia,2015
E34877152RUS,2.0,6100.0,Ford,Focus,2003
E5878M777RUS,1.0,8500.0,Skoda,Octavia,2019
E33577152RUS,1.0,1000.0,Ford,Focus,2019
7147OE161RUS,1.0,500.0,Ford,Focus,1995
7844C8197RUS,2.0,34000.0,Ford,Focus,1990
X256HE161RUS,2.0,800.0,Ford,Focus,2000
X257HE161RUS,2.0,5000.0,Ford,Focus,1988
C584EY154RUS,1.0,500.0,Ford,Focus,2009
C584EY154RUS,1.0,500.0,Ford,Focus,1998
H214X836RUS,2.0,8000.0,Ford,Focus,1985
Y4298M777RUS,1.0,2000.0,Skoda,Octavia,1998
E28977161RUS,2.0,1500.0,Ford,Focus,1988
H908YK197RUS,1.0,4800.0,Ford,Focus,1994
T016OX197RUS,2.0,3200.0,Toyota,Corolla,1999
8166XX154RUS,1.0,600.0,Ford,Focus,1980
H889YK197RUS,1.0,10600.0,Ford,Focus,2015
7363C8197RUS,2.0,1600.0,Ford,Focus,1987
Y357O8197RUS,2.0,2200.0,Ford,Focus,2006
T6039O50RUS,2.0,1500.0,Ford,Focus,2006
7365C8197RUS,1.0,2300.0,Ford,Focus,1996
Y967O8197RUS,1.0,4000.0,Ford,Focus,2012
E816HE77RUS,1.0,3000.0,Ford,Focus,2001
T6329O50RUS,1.0,500.0,Ford,Focus,1980
X504X8197RUS,1.0,7860.9896432681,Skoda,Octavia,2013
M581CH197RUS,1.0,200.0,Ford,Focus,2000
M374CH197RUS,2.0,5500.0,Ford,Focus,2000
X523OM161RUS,2.0,800.0,Ford,Focus,1982
9470EX178RUS,1.0,500.0,Ford,Focus,1994
C412X938RUS,1.0,1000.0,Ford,Focus,1995
7831C8197RUS,2.0,3400.0,Ford,Focus,1981
8164XX154RUS,2.0,4400.0,Ford,Focus,2002
H004MH197RUS,2.0,9900.0,Ford,Focus,1983
X015HY197RUS,2.0,24000.0,Toyota,Corolla,1980
Y652O8197RUS,2.0,5800.0,Volkswagen,Touareg,2012
E53477152RUS,2.0,7200.0,Ford,Focus,2003
T6419O50RUS,2.0,9000.0,Ford,Focus,2004
E822TH36RUS,2.0,12900.0,Ford,Focus,2018
8437XX154RUS,1.0,7860.9896432681,Ford,Focus,1984
E445TC197RUS,1.0,3400.0,Ford,Focus,1985
C515X938RUS,1.0,1900.0,Ford,Focus,2010
7172TT36RUS,2.0,5700.0,Ford,Focus,2001
8436XX154RUS,1.0,800.0,Ford,Focus,1985
E79988152RUS,1.0,500.0,Ford,Focus,1980
8180XX154RUS,1.0,2800.0,Ford,Focus,1986
9499KX178RUS,2.0,2300.0,Ford,Focus,1993
84438C154RUS,2.0,3800.0,Ford,Focus,2006
T6309O50RUS,2.0,24000.0,Ford,Focus,2017
9594HY161RUS,1.0,300.0,Ford,Focus,1994
T6129O50RUS,2.0,6000.0,Ford,Focus,1989
K339T8197RUS,2.0,19200.0,Ford,Focus,2000
8685HE154RUS,1.0,2000.0,Ford,Focus,1982
72457Y96RUS,2.0,900.0,Ford,Focus,1995
Y7449Y50RUS,2.0,8000.0,Ford,Focus,1997
K899T8197RUS,2.0,15400.0,Ford,Focus,2017
O017KO197RUS,2.0,800.0,Ford,Focus,1990
X782CO96RUS,1.0,7860.9896432681,Ford,Focus,1995
E591HE77RUS,2.0,6000.0,Ford,Focus,1989
89587X197RUS,1.0,4400.0,Toyota,Camry,1982
Y7659C197RUS,1.0,1500.0,Ford,Focus,2016
9499KX178RUS,1.0,2300.0,Ford,Focus,1983
M581CH197RUS,1.0,100.0,Ford,Focus,2004
8818C877RUS,1.0,5000.0,Volkswagen,Passat,1995
8437XX154RUS,1.0,800.0,Ford,Focus,2004
Y357O8197RUS,1.0,2200.0,Ford,Focus,2007
Y652O8197RUS,1.0,5800.0,Volkswagen,Touareg,2001
X760HY197RUS,2.0,10100.0,Ford,Focus,2001
O058M7161RUS,2.0,1900.0,Ford,Focus,1989
X767HY197RUS,2.0,18000.0,Ford,Focus,1985
H220X836RUS,1.0,7000.0,Ford,Focus,2002
92788M178RUS,1.0,1200.0,Ford,Focus,2009
H218X836RUS,2.0,17500.0,Ford,Focus,2009
T913CT197RUS,1.0,7900.0,Toyota,Camry,1992
T6439O50RUS,2.0,16500.0,Ford,Focus,1990
7784KT197RUS,2.0,13200.0,Ford,Focus,1982
X286TC36RUS,2.0,7860.9896432681,Ford,Focus,1984
O752MX161RUS,1.0,1300.0,Ford,Focus,2014
9137X938RUS,2.0,1600.0,Ford,Focus,2005
Y7719C197RUS,2.0,4600.0,Ford,Focus,1986
Y7449Y50RUS,1.0,8000.0,Ford,Focus,2019
H115YO163RUS,2.0,1100.0,Ford,Focus,2015
8818C877RUS,2.0,10000.0,Volkswagen,Passat,2010
7064C8197RUS,2.0,12800.0,Volkswagen,Passat,1993
92828M178RUS,1.0,300.0,Ford,Focus,2017
Y650E8750RUS,1.0,500.0,Skoda,Octavia,1991
X782CO96RUS,1.0,1000.0,Ford,Focus,2003
X767HY197RUS,2.0,36000.0,Ford,Focus,1987
9498KX178RUS,2.0,800.0,Ford,Focus,2009
83298C154RUS,1.0,100.0,Ford,Focus,1986
8321XX154RUS,1.0,100.0,Ford,Focus,2005
8316XX154RUS,1.0,2200.0,Ford,Focus,2017
T017OX197RUS,2.0,12700.0,Toyota,Corolla,2004
H977HY161RUS,1.0,7860.9896432681,Ford,Focus,1998
7788KT197RUS,2.0,7860.9896432681,Ford,Focus,1987
X522OM161RUS,1.0,1500.0,Ford,Focus,2011
Y8399C197RUS,1.0,600.0,Ford,Focus,2009
O085E8197RUS,1.0,300.0,Volkswagen,Golf,1985
8166XX154RUS,1.0,600.0,Ford,Focus,2013
705387163RUS,2.0,700.0,Ford,Focus,1985
O017KO197RUS,1.0,800.0,Ford,Focus,2014
X4138H125RUS,1.0,300.0,Ford,Focus,2014
8441XX154RUS,1.0,500.0,Ford,Focus,1988
M0269X197RUS,2.0,7860.9896432681,Ford,Focus,2016
7781KT197RUS,1.0,1200.0,Ford,Focus,1989
9683EC178RUS,1.0,6500.0,Ford,Focus,2013
T483CT96RUS,1.0,500.0,Ford,Focus,1998
T940CC96RUS,2.0,1500.0,Ford,Focus,1992
C58078163RUS,1.0,100.0,Ford,Focus,1988
O02397197RUS,1.0,4000.0,Volkswagen,Jetta,2007
T018OX197RUS,2.0,6800.0,Toyota,Corolla,1988
H963HY161RUS,1.0,1400.0,Ford,Focus,1989
8611T8154RUS,2.0,2000.0,Ford,Focus,2011
C583EY154RUS,1.0,1000.0,Ford,Focus,1985
9942KK197RUS,1.0,3100.0,Ford,Focus,2000
83218C154RUS,1.0,100.0,Ford,Focus,2010
704787163RUS,2.0,2800.0,Ford,Focus,2018
E53488152RUS,2.0,3600.0,Ford,Focus,1984
Y7129Y50RUS,1.0,16000.0,Ford,Focus,2017
C313MM99RUS,1.0,7500.0,Toyota,Camry,2013
8611T8154RUS,1.0,1000.0,Ford,Focus,2013
X763HY197RUS,2.0,9500.0,Ford,Focus,1989
M386M9197RUS,2.0,5800.0,Volkswagen,Golf,2009
8605T8154RUS,1.0,1000.0,Ford,Focus,2010
O22297197RUS,1.0,7860.9896432681,Ford,Focus,1990
7147OE161RUS,1.0,500.0,Ford,Focus,2004
O134HE197RUS,2.0,7600.0,Ford,Focus,1990
96429X178RUS,1.0,1300.0,Ford,Focus,2001
Y7379Y50RUS,2.0,2000.0,Ford,Focus,2007
K326T8197RUS,1.0,100.0,Volkswagen,Passat,2017
H982HY161RUS,1.0,300.0,Ford,Focus,2005
Y344E877RUS,1.0,1000.0,Ford,Focus,2002
7361C8197RUS,1.0,1600.0,Ford,Focus,2016
Y359EY197RUS,2.0,3000.0,Skoda,Octavia,2009
T6559O50RUS,1.0,4000.0,Ford,Focus,2013
X759HY197RUS,2.0,12500.0,Ford,Focus,2001
E53277152RUS,1.0,500.0,Ford,Focus,1997
X015HY197RUS,1.0,8000.0,Toyota,Corolla,2015
E552MO152RUS,1.0,7860.9896432681,Ford,Focus,2002
9469EX178RUS,2.0,2100.0,Ford,Focus,1994
Y6839Y50RUS,2.0,3000.0,Ford,Focus,2015
H237YH197RUS,1.0,600.0,Ford,Focus,2016
T948OM96RUS,1.0,2000.0,Ford,Focus,2010
T395KX197RUS,2.0,15200.0,Ford,Focus,1992
M301CH161RUS,1.0,8000.0,Ford,Focus,2011
